mc_A_per_s,Iref_onset
0.000000000000000000e+00,1.040000000000000258e+00
1.166666666666666714e+02,1.080000000000000293e+00
2.333333333333333428e+02,1.100000000000000311e+00
3.500000000000000000e+02,1.140000000000000346e+00
4.666666666666666856e+02,1.160000000000000364e+00
5.833333333333333712e+02,1.200000000000000400e+00
7.000000000000000000e+02,1.220000000000000417e+00
8.166666666666667425e+02,1.260000000000000453e+00
9.333333333333333712e+02,1.300000000000000488e+00
1.050000000000000000e+03,1.320000000000000506e+00
1.166666666666666742e+03,1.360000000000000542e+00
1.283333333333333485e+03,1.400000000000000577e+00
1.400000000000000000e+03,1.420000000000000595e+00
1.516666666666666742e+03,1.460000000000000631e+00
1.633333333333333485e+03,1.500000000000000666e+00
1.750000000000000000e+03,1.520000000000000684e+00
1.866666666666666742e+03,1.560000000000000719e+00
