Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
5.999999999999999778e-01,1.000000000000000000e+00,-3.945741318240554296e-01,6.735858199802714497e-01,2.416251047562448240e-03,6.674576574785678895e-02
6.099999999999999867e-01,1.000000000000000000e+00,-3.859086327689883467e-01,6.794581594974384853e-01,2.789864328507182800e-03,7.292450360223889927e-02
6.199999999999999956e-01,1.000000000000000000e+00,-3.771352882094661796e-01,6.854560402608128600e-01,3.180326022369395211e-03,7.901801774672667644e-02
6.300000000000000044e-01,1.000000000000000000e+00,-3.682646707034502032e-01,6.915745546956373335e-01,3.586103085714095751e-03,8.502754346471365354e-02
6.400000000000000133e-01,1.000000000000000000e+00,-3.593068913755271820e-01,6.978089514972731777e-01,4.005748630518835007e-03,9.095431328903273716e-02
6.500000000000000222e-01,1.000000000000000000e+00,-3.502715486861677219e-01,7.041546023891787076e-01,4.437886483955863492e-03,9.679955585531524465e-02
6.600000000000000311e-01,1.000000000000000000e+00,-3.411677860525224593e-01,7.106070273711878604e-01,4.881227042128455373e-03,1.025644948241461463e-01
6.700000000000000400e-01,1.000000000000000000e+00,-3.320042735432681691e-01,7.171618939884910615e-01,5.334545430526346776e-03,1.082503478708579658e-01
6.800000000000000488e-01,1.000000000000000000e+00,-3.227892664139923595e-01,7.238149627161495347e-01,5.796685278494265181e-03,1.138583257415833744e-01
6.900000000000000577e-01,1.000000000000000000e+00,-3.135305080263530164e-01,7.305621922875074059e-01,6.266572616950467911e-03,1.193896313739728487e-01
7.000000000000000666e-01,1.000000000000000000e+00,-3.042353769882404357e-01,7.373996047698490042e-01,6.743186275723830891e-03,1.248454590808468073e-01
7.100000000000000755e-01,1.000000000000000000e+00,-2.949107952648705733e-01,7.443234164213955451e-01,7.225575354772813264e-03,1.302269937948715706e-01
7.200000000000000844e-01,1.000000000000000000e+00,-2.855633074112612912e-01,7.513299188251953975e-01,7.712860388503051112e-03,1.355354103722712922e-01
7.300000000000000933e-01,1.000000000000000000e+00,-2.761990384525160325e-01,7.584155727175423412e-01,8.204203598189213631e-03,1.407718729534773172e-01
7.400000000000001021e-01,1.000000000000000000e+00,-2.668237700846146643e-01,7.655769083201335867e-01,8.698833089248160511e-03,1.459375343785552781e-01
7.500000000000001110e-01,1.000000000000000000e+00,-2.574428622267458944e-01,7.728106219114954101e-01,9.196028143090728690e-03,1.510335356551943398e-01
7.600000000000001199e-01,1.000000000000000000e+00,-2.480613893111132395e-01,7.801135052035437223e-01,9.695122113971249567e-03,1.560610054770295019e-01
7.700000000000001288e-01,1.000000000000000000e+00,-2.386840149622706242e-01,7.874824699650183613e-01,1.019549596933890315e-02,1.610210597900266494e-01
7.800000000000001377e-01,1.000000000000000000e+00,-2.293150653229633074e-01,7.949145467909602969e-01,1.069656849051443120e-02,1.659148014046835651e-01
7.900000000000001465e-01,1.000000000000000000e+00,-2.199586046949310314e-01,8.024068239289043891e-01,1.119781257463267621e-02,1.707433196518029495e-01
8.000000000000001554e-01,1.000000000000000000e+00,-2.106182766248870519e-01,8.099565562802574226e-01,1.169873804813327187e-02,1.755076900796005424e-01
8.100000000000001643e-01,1.000000000000000000e+00,-2.012974727520146223e-01,8.175610884651303145e-01,1.219889411148361059e-02,1.802089741899834952e-01
8.200000000000001732e-01,1.000000000000000000e+00,-1.919992543227819204e-01,8.252177900326809201e-01,1.269785483537997153e-02,1.848482192118259260e-01
8.300000000000001821e-01,1.000000000000000000e+00,-1.827263595219555670e-01,8.329242163818045830e-01,1.319524631500542354e-02,1.894264579091561873e-01
8.400000000000001910e-01,1.000000000000000000e+00,-1.734812500612702146e-01,8.406779707503934107e-01,1.369071810854956620e-02,1.939447084222025719e-01
8.500000000000001998e-01,1.000000000000000000e+00,-1.642661283210853918e-01,8.484767459435185177e-01,1.418394690957089366e-02,1.984039741393096579e-01
