Iref,period,LLE_per_cycle,eig1_mag,eig2_mag,duty
5.999999999999999778e-01,1.000000000000000000e+00,-1.177262382174775857e+00,3.079249464479608678e-01,3.079249464479608678e-01,5.069427745663806356e-02
6.099999999999999867e-01,1.000000000000000000e+00,-1.178391095932838972e+00,3.077433451899091454e-01,3.077433451899091454e-01,5.554912022022398532e-02
6.199999999999999956e-01,1.000000000000000000e+00,-1.178990004040148198e+00,3.075498290353186892e-01,3.075498290353186892e-01,6.036531653682564169e-02
6.300000000000000044e-01,1.000000000000000000e+00,-1.179086694872374164e+00,3.073446130195363613e-01,3.073446130195363613e-01,6.514298286491837509e-02
6.400000000000000133e-01,1.000000000000000000e+00,-1.179395429497388292e+00,3.071279195527832351e-01,3.071279195527832351e-01,6.988224270126791593e-02
6.500000000000000222e-01,1.000000000000000000e+00,-1.180172628092116982e+00,3.068999630301575965e-01,3.068999630301575965e-01,7.458322642105597033e-02
6.600000000000000311e-01,1.000000000000000000e+00,-1.181417178114785527e+00,3.066609479083050593e-01,3.066609479083050593e-01,7.924607111355529143e-02
6.700000000000000400e-01,1.000000000000000000e+00,-1.181711038628494581e+00,3.064110877566448843e-01,3.064110877566448843e-01,8.387092041375510121e-02
6.800000000000000488e-01,1.000000000000000000e+00,-1.182648323799965207e+00,3.061505774175594663e-01,3.061505774175594663e-01,8.845792433032620417e-02
6.900000000000000577e-01,1.000000000000000000e+00,-1.184544718535522234e+00,3.058796142302635523e-01,3.058796142302635523e-01,9.300723907032015791e-02
7.000000000000000666e-01,1.000000000000000000e+00,-1.184704358017736547e+00,3.055983946233154502e-01,3.055983946233154502e-01,9.751902686098250228e-02
7.100000000000000755e-01,1.000000000000000000e+00,-1.185490189800493477e+00,3.053071036822310735e-01,3.053071036822310735e-01,1.019934557690641702e-01
7.200000000000000844e-01,1.000000000000000000e+00,-1.186562643903582792e+00,3.050059357510186420e-01,3.050059357510186420e-01,1.064306995179943455e-01
7.300000000000000933e-01,1.000000000000000000e+00,-1.188249146014199509e+00,3.046950649443858627e-01,3.046950649443858627e-01,1.108309373032865669e-01
7.400000000000001021e-01,1.000000000000000000e+00,-1.188548459693789638e+00,3.043746769192496870e-01,3.043746769192496870e-01,1.151943536065271334e-01
7.500000000000001110e-01,1.000000000000000000e+00,-1.189345601061836843e+00,3.040449413648928512e-01,3.040449413648928512e-01,1.195211380082898955e-01
7.600000000000001199e-01,1.000000000000000000e+00,-1.191598768613099768e+00,3.037060324804171652e-01,3.037060324804171652e-01,1.238114850003174811e-01
7.700000000000001288e-01,1.000000000000000000e+00,-1.191585096518247955e+00,3.033581181039191610e-01,3.033581181039191610e-01,1.280655937972882963e-01
7.800000000000001377e-01,1.000000000000000000e+00,-1.193184853323125072e+00,3.030013639441138662e-01,3.030013639441138662e-01,1.322836681484806931e-01
7.900000000000001465e-01,1.000000000000000000e+00,-1.194492896967467965e+00,3.026359311032657540e-01,3.026359311032657540e-01,1.364659161496422635e-01
8.000000000000001554e-01,1.000000000000000000e+00,-1.195309166854763960e+00,3.022619815853677117e-01,3.022619815853677117e-01,1.406125500553429830e-01
8.100000000000001643e-01,1.000000000000000000e+00,-1.196489256714440508e+00,3.018796638903717411e-01,3.018796638903717411e-01,1.447237860920999042e-01
8.200000000000001732e-01,1.000000000000000000e+00,-1.197799654389282598e+00,3.014891337531848681e-01,3.014891337531848681e-01,1.487998442725255999e-01
8.300000000000001821e-01,1.000000000000000000e+00,-1.199311861099184418e+00,3.010905419201568844e-01,3.010905419201568844e-01,1.528409482107581374e-01
8.400000000000001910e-01,1.000000000000000000e+00,-1.201585843211186999e+00,3.006840322972149093e-01,3.006840322972149093e-01,1.568473249394108926e-01
8.500000000000001998e-01,1.000000000000000000e+00,-1.201809320352233756e+00,3.002697424232517731e-01,3.002697424232517731e-01,1.608192047282598347e-01
8.600000000000002087e-01,1.000000000000000000e+00,-1.203356220971173229e+00,2.998478198690782137e-01,2.998478198690782137e-01,1.647568209048885512e-01
8.700000000000002176e-01,1.000000000000000000e+00,-1.204691431737846319e+00,2.994184009926966761e-01,2.994184009926966761e-01,1.686604096774844130e-01
8.800000000000002265e-01,1.000000000000000000e+00,-1.206691294726804031e+00,2.989816176251306468e-01,2.989816176251306468e-01,1.725302099599695937e-01
8.900000000000002354e-01,1.000000000000000000e+00,-1.207532274862148869e+00,2.985376003316075888e-01,2.985376003316075888e-01,1.763664631996434418e-01
9.000000000000002442e-01,1.000000000000000000e+00,-1.208991731233830746e+00,2.980864789572313378e-01,2.980864789572313378e-01,1.801694132074962429e-01
9.100000000000002531e-01,1.000000000000000000e+00,-1.210555139446262363e+00,2.976283785478580635e-01,2.976283785478580635e-01,1.839393059913371209e-01
9.200000000000002620e-01,1.000000000000000000e+00,-1.212091464134690932e+00,2.971634240985014386e-01,2.971634240985014386e-01,1.876763895918725500e-01
9.300000000000002709e-01,1.000000000000000000e+00,-1.213645692886264005e+00,2.966917347315075060e-01,2.966917347315075060e-01,1.913809139218627386e-01
9.400000000000002798e-01,1.000000000000000000e+00,-1.215462417679118445e+00,2.962134303593003670e-01,2.962134303593003670e-01,1.950531306084614114e-01
9.500000000000002887e-01,1.000000000000000000e+00,-1.217499020276631816e+00,2.957286249690077584e-01,2.957286249690077584e-01,1.986932928388381869e-01
9.600000000000002975e-01,1.000000000000000000e+00,-1.218528404657503561e+00,2.952374316539003174e-01,2.952374316539003174e-01,2.023016552091780329e-01
9.700000000000003064e-01,1.000000000000000000e+00,-1.220853930815702926e+00,2.947399541546020796e-01,2.947399541546020796e-01,2.058784735771283514e-01
9.800000000000003153e-01,1.000000000000000000e+00,-1.222097965329036473e+00,2.942363082587051704e-01,2.942363082587051704e-01,2.094240049177662211e-01
9.900000000000003242e-01,1.000000000000000000e+00,-1.223619612263209255e+00,2.937266000032318081e-01,2.937266000032318081e-01,2.129385071831386422e-01
1.000000000000000444e+00,1.000000000000000000e+00,-1.225386816375333199e+00,2.932109272221566920e-01,2.932109272221566920e-01,2.164222391654278543e-01
1.010000000000000231e+00,1.000000000000000000e+00,-1.227157634508134088e+00,2.926893951939067429e-01,2.926893951939067429e-01,2.198754603637737837e-01
1.020000000000000462e+00,1.000000000000000000e+00,-1.228922070340001227e+00,2.921620996561910544e-01,2.921620996561910544e-01,2.232984308547929231e-01
1.030000000000000249e+00,1.000000000000000000e+00,-1.230909445857894857e+00,2.916291397239782479e-01,2.916291397239782479e-01,2.266914111668020260e-01
1.040000000000000480e+00,1.000000000000000000e+00,-1.233281793465121456e+00,2.910906072650395471e-01,2.910906072650395471e-01,2.300546621577704842e-01
1.050000000000000266e+00,1.000000000000000000e+00,-1.234437288063003679e+00,2.905465939784084295e-01,2.905465939784084295e-01,2.333884448970011405e-01
1.060000000000000497e+00,1.000000000000000000e+00,-1.236733886276485617e+00,2.899971881256697692e-01,2.899971881256697692e-01,2.366930205505397566e-01
1.070000000000000284e+00,1.000000000000000000e+00,-1.238740948173896239e+00,2.894424799489286881e-01,2.894424799489286881e-01,2.399686502703037294e-01
1.080000000000000515e+00,1.000000000000000000e+00,-1.240291258195180379e+00,2.888825569441424435e-01,2.888825569441424435e-01,2.432155950869172578e-01
1.090000000000000302e+00,1.000000000000000000e+00,-1.242219378019915110e+00,2.883174969573469304e-01,2.883174969573469304e-01,2.464341158062263726e-01
1.100000000000000533e+00,1.000000000000000000e+00,-1.244467404232248553e+00,2.877473876220788540e-01,2.877473876220788540e-01,2.496244729094785897e-01
1.110000000000000320e+00,1.000000000000000000e+00,-1.246588266207220741e+00,2.871723056709619137e-01,2.871723056709619137e-01,2.527869264571205310e-01
1.120000000000000551e+00,1.000000000000000000e+00,-1.248038040471719956e+00,2.865923277363115473e-01,2.865923277363115473e-01,2.559217359961935001e-01
1.130000000000000338e+00,1.000000000000000000e+00,-1.250680147893728167e+00,2.860075304094554238e-01,2.860075304094554238e-01,2.590291604712714468e-01
1.140000000000000568e+00,1.000000000000000000e+00,-1.252493976315361524e+00,2.854179888568112444e-01,2.854179888568112444e-01,2.621094581389072364e-01
1.150000000000000355e+00,1.000000000000000000e+00,-1.254330820350402442e+00,2.848237741299393666e-01,2.848237741299393666e-01,2.651628864855316570e-01
1.160000000000000586e+00,1.000000000000000000e+00,-1.256531844457602798e+00,2.842249591328211977e-01,2.842249591328211977e-01,2.681897021487591459e-01
1.170000000000000373e+00,1.000000000000000000e+00,-1.259697209246535721e+00,2.836216067153231601e-01,2.836216067153231601e-01,2.711901608420378973e-01
